Rk,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
57,Bradley Barcola,FRA,FW,Paris S-G,22,16,14,1063,11.8,3,3,6,3,0,0,1,0,5.3,5.3,3.7,9.0,59,24,172,0.25,0.25,0.51,0.25,0.51,0.45,0.31,0.76,0.45,0.76
58,Nicolò Barella,ITA,MF,Inter,28,12,10,902,10.0,0,2,2,0,0,0,2,0,0.4,0.4,1.7,2.1,19,62,33,0.00,0.20,0.20,0.00,0.20,0.04,0.17,0.21,0.04,0.21
59,Ross Barkley,ENG,MF,Aston Villa,31,6,0,103,1.1,1,0,1,1,0,0,1,0,0.0,0.0,0.0,0.1,0,6,0,0.87,0.00,0.87,0.87,0.87,0.03,0.04,0.07,0.03,0.07
60,Leandro Barreiro Martins,LUX,MF,Benfica,25,9,2,267,3.0,0,0,0,0,0,0,2,0,0.7,0.7,0.3,1.0,0,7,3,0.00,0.00,0.00,0.00,0.00,0.24,0.10,0.34,0.24,0.34
61,Pablo Barrios,ESP,MF,Atlético Madrid,21,6,6,431,4.8,0,0,0,0,0,0,1,1,0.1,0.1,0.2,0.3,3,32,1,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07
62,Tigran Barseghyan,ARM,"FW,MF",Slovan Bratislava,31,8,7,549,6.1,1,2,3,1,0,0,2,0,1.5,1.5,1.7,3.2,18,28,29,0.16,0.33,0.49,0.16,0.49,0.24,0.28,0.52,0.24,0.52
63,Davide Bartesaghi,ITA,DF,Milan,19,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.24
64,Afonso Bastardo,POR,MF,Sporting CP,20,1,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10
65,Alessandro Bastoni,ITA,DF,Inter,26,13,11,985,10.9,0,1,1,0,0,0,3,0,0.3,0.3,0.3,0.6,15,45,23,0.00,0.09,0.09,0.00,0.09,0.03,0.03,0.06,0.03,0.06
66,Martin Baturina,CRO,"MF,FW",Dinamo Zagreb,22,8,8,619,6.9,2,1,3,2,0,0,2,0,0.8,0.8,1.4,2.2,32,35,21,0.29,0.15,0.44,0.29,0.44,0.12,0.21,0.32,0.12,0.32
67,Christoph Baumgartner,AUT,"MF,FW",RB Leipzig,25,8,6,480,5.3,2,0,2,2,0,0,2,0,2.0,2.0,0.4,2.4,6,10,26,0.37,0.00,0.37,0.37,0.37,0.38,0.08,0.45,0.38,0.45
68,Donny van de Beek,NED,"MF,FW",Girona,28,7,6,448,5.0,1,0,1,1,0,0,1,0,0.7,0.7,0.7,1.4,7,24,22,0.20,0.00,0.20,0.20,0.20,0.14,0.15,0.29,0.14,0.29
69,Thomas Beelen,NED,"DF,MF",Feyenoord,23,12,8,829,9.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,27,0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
70,Maximilian Beier,GER,"FW,MF",Dortmund,22,12,6,616,6.8,1,0,1,1,0,0,2,0,1.2,1.2,0.4,1.6,7,10,32,0.15,0.00,0.15,0.15,0.15,0.17,0.06,0.24,0.17,0.24
71,Raoul Bellanova,ITA,DF,Atalanta,25,8,6,463,5.1,1,0,1,1,0,0,1,0,0.5,0.5,0.4,0.8,23,16,34,0.19,0.00,0.19,0.19,0.19,0.09,0.07,0.16,0.09,0.16
72,Jude Bellingham,ENG,MF,Real Madrid,21,13,13,1131,12.6,3,3,6,3,0,0,3,0,3.8,3.8,2.2,6.0,23,78,47,0.24,0.24,0.48,0.24,0.48,0.31,0.18,0.49,0.31,0.49
73,Jeanuël Belocian,FRA,DF,Leverkusen,20,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74,Andrea Belotti,ITA,FW,Benfica,31,4,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,0.00,0.28
75,Eliesse Ben Seghir,MAR,"MF,FW",Monaco,20,10,7,545,6.1,2,0,2,2,0,0,1,0,1.5,1.5,0.5,2.0,20,20,41,0.33,0.00,0.33,0.33,0.33,0.24,0.08,0.33,0.24,0.33
76,Walter Benítez,ARG,GK,PSV Eindhoven,32,11,11,1020,11.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77,Loris Benito,SUI,DF,Young Boys,33,5,4,326,3.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,4,22,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
78,Ismaël Bennacer,ALG,MF,Milan,27,1,1,74,0.8,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,2,4,0,0.00,1.22,1.22,0.00,1.22,0.05,0.47,0.52,0.05,0.52
79,Ramy Bensebaini,ALG,DF,Dortmund,30,12,8,745,8.3,2,1,3,2,0,0,4,0,1.3,1.3,1.2,2.5,16,54,24,0.24,0.12,0.36,0.24,0.36,0.16,0.15,0.30,0.16,0.30
80,Lucas Beraldo,BRA,DF,Paris S-G,21,4,1,142,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,6,0,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
81,Thomas Berenbruch,ITA,MF,Inter,19,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82,Paulo Bernardo,POR,MF,Celtic,23,8,2,241,2.7,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,15,9,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.11,0.08,0.11
83,Maxime Bernauer,FRA,DF,Dinamo Zagreb,26,6,5,466,5.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,12,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
84,Jan-Niklas Beste,GER,"FW,DF",Benfica,26,5,0,113,1.3,0,1,1,0,0,0,0,0,0.1,0.1,0.6,0.7,2,2,16,0.00,0.80,0.80,0.00,0.80,0.07,0.47,0.54,0.07,0.54
85,Sam Beukema,NED,DF,Bologna,26,8,8,646,7.2,0,1,1,0,0,0,3,0,0.3,0.3,0.6,0.9,7,33,0,0.00,0.14,0.14,0.00,0.14,0.04,0.09,0.13,0.04,0.13
86,Mads Bidstrup,DEN,MF,RB Salzburg,24,5,4,331,3.7,1,0,1,1,0,0,1,0,0.7,0.7,0.3,1.0,3,9,12,0.27,0.00,0.27,0.27,0.27,0.20,0.08,0.27,0.20,0.27
87,Biel,BRA,"MF,FW",Sporting CP,24,2,1,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
88,Mika Biereth,DEN,FW,Sturm Graz,22,6,6,470,5.2,2,0,2,2,0,0,0,0,2.1,2.1,0.1,2.2,5,7,20,0.38,0.00,0.38,0.38,0.38,0.40,0.02,0.42,0.40,0.42
89,Mika Biereth,DEN,FW,Monaco,22,2,1,82,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
90,Justin Bijlow,NED,GK,Feyenoord,27,2,2,125,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
91,El Bilal Touré,MLI,"FW,MF",Stuttgart,23,4,1,139,1.5,1,0,1,1,0,0,0,0,0.8,0.8,0.0,0.8,3,1,9,0.65,0.00,0.65,0.65,0.65,0.51,0.00,0.51,0.51,0.51
92,Veljko Birmančević,SRB,FW,Sparta Prague,27,6,6,491,5.5,0,0,0,0,0,0,1,0,1.4,1.4,0.3,1.7,14,8,31,0.00,0.00,0.00,0.00,0.00,0.25,0.06,0.31,0.25,0.31
93,Marco Bizot,NED,GK,Brest,34,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
94,César Blackman,PAN,"DF,MF",Slovan Bratislava,27,8,8,718,8.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,11,18,39,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
95,Hendry Blank,GER,DF,RB Salzburg,20,4,3,284,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,17,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
96,Janis Blaswich,GER,GK,RB Salzburg,34,5,4,382,4.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
97,Daley Blind,NED,DF,Girona,35,4,4,322,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,3,18,6,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11
98,Lewin Blum,SUI,DF,Young Boys,23,7,5,440,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.5,0.6,5,14,18,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.12,0.01,0.12
99,Benjamin Boakye,GER,FW,Stuttgart,20,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100,Sacha Boey,FRA,DF,Bayern Munich,24,3,1,104,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,13,27,0.00,0.00,0.00,0.00,0.00,0.14,0.03,0.17,0.14,0.17
101,Lamare Bogarde,NED,"DF,MF",Aston Villa,21,4,2,141,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
102,Valerii Bondar,UKR,DF,Shakhtar,26,8,8,720,8.0,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,1,11,0,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
103,Artem Bondarenko,UKR,MF,Shakhtar,24,8,5,462,5.1,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,6,14,12,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.06,0.05,0.06
104,Victor Boniface,NGA,FW,Leverkusen,24,4,3,240,2.7,1,0,1,1,0,0,0,0,1.8,1.8,0.1,1.9,11,6,17,0.37,0.00,0.37,0.37,0.37,0.68,0.02,0.71,0.68,0.71
105,Olivier Boscagli,FRA,DF,PSV Eindhoven,27,11,10,910,10.1,0,0,0,0,0,0,1,0,0.3,0.3,0.6,0.9,12,79,1,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09
106,Ayyoub Bouaddi,FRA,MF,Lille,17,9,7,622,6.9,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,4,22,8,0.00,0.14,0.14,0.00,0.14,0.02,0.02,0.04,0.02,0.04
107,Conor Bradley,NIR,DF,Liverpool,21,5,3,277,3.1,0,1,1,0,0,0,0,0,0.4,0.4,0.3,0.7,9,11,15,0.00,0.32,0.32,0.00,0.32,0.12,0.10,0.22,0.12,0.22
108,Daniel Bragança,POR,MF,Sporting CP,25,8,2,318,3.5,1,2,3,1,0,0,1,0,1.3,1.3,0.4,1.6,6,23,8,0.28,0.57,0.85,0.28,0.85,0.36,0.10,0.46,0.36,0.46
109,Julian Brandt,GER,MF,Dortmund,29,13,11,877,9.7,0,5,5,0,0,0,0,0,0.7,0.7,1.5,2.2,26,54,64,0.00,0.51,0.51,0.00,0.51,0.08,0.15,0.23,0.08,0.23
110,Fabian Bredlow,GER,GK,Stuttgart,30,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
111,Gleison Bremer,BRA,DF,Juventus,28,2,2,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
112,Marco Brescianini,ITA,"MF,FW",Atalanta,25,6,1,127,1.4,1,0,1,1,0,0,1,0,0.9,0.9,0.0,1.0,5,2,19,0.71,0.00,0.71,0.71,0.71,0.67,0.02,0.69,0.67,0.69
