Rk,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
171,Marc Cucurella,ESP,DF,Chelsea,26,8,5,471,5.2,2,1,3,2,0,0,1,0,1.0,1.0,0.3,1.3,8,26,36,0.38,0.19,0.57,0.38,0.57,0.19,0.06,0.25,0.19,0.25
173,Joshua Daniels,NIR,"DF,MF",The New Saints,29,6,5,530,5.9,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,21,9,14,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.09,0.05,0.09
174,Marcus Danielsson,SWE,DF,Djurgården,36,10,8,767,8.5,1,0,1,0,1,1,4,0,1.2,0.4,0.0,0.5,1,35,1,0.12,0.00,0.12,0.00,0.00,0.15,0.00,0.15,0.05,0.06
175,Artak Dashyan,ARM,MF,FC Noah,35,4,2,174,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0,6,12,0.00,0.00,0.00,0.00,0.00,0.11,0.03,0.14,0.11,0.14
176,Daniel Davies,WAL,DF,The New Saints,29,6,6,540,6.0,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,5,8,5,0.17,0.00,0.17,0.17,0.17,0.04,0.01,0.05,0.04,0.05
177,Gilles De Meyer,BEL,DF,Gent,18,3,1,151,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,8,18,18,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11
178,Tibe De Vlieger,BEL,"FW,MF",Gent,19,4,1,99,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,5,6,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18
179,Nils De Wilde,BEL,"MF,DF",Cercle Brugge,22,8,5,480,5.3,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,1,27,12,0.00,0.19,0.19,0.00,0.19,0.02,0.05,0.07,0.02,0.07
180,Max Dean,ENG,"FW,MF",Gent,21,6,1,189,2.1,1,1,2,0,1,1,2,0,1.8,1.0,0.5,1.5,5,6,14,0.48,0.48,0.95,0.00,0.48,0.83,0.26,1.09,0.46,0.72
181,Miloš Degenek,AUS,DF,TSC Bačka Top,31,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
182,Thomas Delaney,DEN,MF,FC Copenhagen,33,7,5,475,5.3,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,4,41,3,0.00,0.00,0.00,0.00,0.00,0.13,0.02,0.15,0.13,0.15
183,Maxime Delanghe,BEL,GK,Cercle Brugge,24,7,6,599,6.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
184,Logan Delaurier Chaubet,FRA,"MF,FW",NK Celje,23,6,6,473,5.3,1,1,2,0,1,1,1,0,1.4,0.6,0.3,0.9,10,12,31,0.19,0.19,0.38,0.00,0.19,0.26,0.05,0.31,0.11,0.16
