Rk,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
37,Patrick Andrade,CPV,MF,Qarabağ,31,7,4,365,4.1,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.3,3,26,6,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08
38,Fredrik André Bjørkan,NOR,DF,Bodø/Glimt,25,16,16,1444,16.0,1,2,3,1,0,0,3,0,0.9,0.9,2.2,3.1,58,63,51,0.06,0.12,0.19,0.06,0.19,0.06,0.14,0.20,0.06,0.20
39,Valdemar Andreasen,DEN,"MF,FW",Midtjylland,19,9,1,211,2.3,2,0,2,2,0,0,0,0,1.4,1.4,0.2,1.6,5,21,17,0.85,0.00,0.85,0.85,0.85,0.59,0.09,0.68,0.59,0.68
40,Oleksandr Andriyevskyi,UKR,MF,Dynamo Kyiv,30,3,1,77,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11
41,Angeliño,ESP,DF,Roma,27,11,11,990,11.0,2,3,5,2,0,0,1,0,0.7,0.7,3.7,4.4,16,38,92,0.18,0.27,0.45,0.18,0.45,0.06,0.34,0.40,0.06,0.40
42,Nilson Angulo,ECU,"MF,FW",Anderlecht,21,6,2,219,2.4,1,0,1,1,0,0,2,1,0.3,0.3,0.1,0.4,11,3,16,0.41,0.00,0.41,0.41,0.41,0.13,0.04,0.17,0.13,0.17
43,Antony,BRA,"DF,FW",Manchester Utd,24,4,1,129,1.4,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,5,3,23,0.00,0.00,0.00,0.00,0.00,0.24,0.14,0.38,0.24,0.38
44,Apostolos Apostolopoulos,GRE,DF,Olympiacos,21,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
45,Jon Aramburu,VEN,DF,Real Sociedad,22,9,5,513,5.7,0,0,0,0,0,0,3,1,0.4,0.4,0.3,0.7,11,34,15,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.12,0.06,0.12
46,Eggert Aron Guðmundsson,ISL,MF,Elfsborg,20,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47,Bright Arrey-Mbi,GER,DF,Braga,21,5,3,347,3.9,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,6,0,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13
48,Tyrese Asante,NED,DF,Maccabi Tel Aviv,22,5,4,339,3.8,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,6,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,Majeed Ashimeru,GHA,MF,Anderlecht,26,3,1,83,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,1,7,0,0.00,0.00,0.00,0.00,0.00,0.15,0.20,0.34,0.15,0.34
50,Kristoffer Askildsen,NOR,"MF,FW",Midtjylland,23,3,0,54,0.6,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.7,1,1,2,0.00,1.67,1.67,0.00,1.67,0.09,1.12,1.21,0.09,1.21
51,Otavio Ataide,BRA,DF,Porto,22,5,5,408,4.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,3,19,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
52,Ludwig Augustinsson,SWE,DF,Anderlecht,30,7,5,449,5.0,1,0,1,1,0,0,0,0,0.1,0.1,1.0,1.1,14,29,15,0.20,0.00,0.20,0.20,0.20,0.02,0.19,0.22,0.02,0.22
53,Sondre Auklend,NOR,MF,Bodø/Glimt,21,8,0,105,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,4,6,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10
54,Brandon Austin,ENG,GK,Tottenham,25,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
55,Nəriman Axundzadə,AZE,FW,Qarabağ,20,4,2,157,1.7,0,1,1,0,0,0,0,0,0.5,0.5,0.3,0.7,1,2,12,0.00,0.57,0.57,0.00,0.57,0.26,0.16,0.42,0.26,0.42
56,Kaan Ayhan,TUR,DF,Galatasaray,29,7,7,551,6.1,0,0,0,0,0,0,3,1,0.1,0.1,0.4,0.5,6,32,21,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09
57,Youri Baas,NED,DF,Ajax,21,9,9,794,8.8,0,0,0,0,0,0,2,1,0.2,0.2,0.0,0.2,6,33,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
